sample_id,modality,source_path,container_declared_duration_sec,container_effective_duration_sec,decoded_timeline_duration_sec,stream_duration_sec,sample_rate_hz,source_fps,sampled_fps,raw_shape,feature_dim,native_granularity,aligned_granularity,sequence_length,valid_position_count,padding_position_count,alignment_method,feature_path,unaligned_feature_path,face_detection_rate,feature_sha256,status,warnings,unaligned_feature_sha256
-3g5yACwYnA$_$9,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,16.234,8.816992,8.8,8.6961875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,21,21,29,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3g5yACwYnA$_$9,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,16.234,8.816992,8.8,8.8,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,21,21,29,proportional,q1_features.npz,q1_features_unaligned.npz,1.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3nNcZdcdvU$_$5,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,10.937,7.867969,7.866666666666666,7.866666666666666,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-3nNcZdcdvU$_$5,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,10.937,7.867969,7.866666666666666,7.788625,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-3nNcZdcdvU$_$5,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,10.937,7.867969,7.866666666666666,7.866666666666666,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,q1_features_unaligned.npz,0.9113924050632911,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$2,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,8.151,3.982031,3.9666666666666663,3.9666666666666663,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,8,8,42,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-HwX2H8Z4hY$_$2,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,8.151,3.982031,3.9666666666666663,3.915875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,8,8,42,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$2,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,8.151,3.982031,3.9666666666666663,3.9666666666666663,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,8,8,42,proportional,q1_features.npz,q1_features_unaligned.npz,0.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$5,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,11.467,5.652995,5.633333333333333,5.633333333333333,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-HwX2H8Z4hY$_$5,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,11.467,5.652995,5.633333333333333,5.5440625,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$5,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,11.467,5.652995,5.633333333333333,5.633333333333333,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,q1_features_unaligned.npz,0.07017543859649122,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$6,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,6.767,3.358008,3.333333333333333,3.333333333333333,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,7,7,43,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-HwX2H8Z4hY$_$6,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,6.767,3.358008,3.333333333333333,3.256,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,7,7,43,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$6,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,6.767,3.358008,3.333333333333333,3.333333333333333,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,7,7,43,proportional,q1_features.npz,q1_features_unaligned.npz,0.029411764705882353,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$9,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,11.434,7.733984,7.733333333333333,7.733333333333333,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,22,22,28,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-HwX2H8Z4hY$_$9,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,11.434,7.733984,7.733333333333333,7.636375,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,22,22,28,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-HwX2H8Z4hY$_$9,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,11.434,7.733984,7.733333333333333,7.733333333333333,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,22,21,28,proportional,q1_features.npz,q1_features_unaligned.npz,0.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,warning,invalid_nonpadding_positions,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-NFrJFQijFE$_$1,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,9.12,5.746,5.72,5.72,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,16,16,34,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-NFrJFQijFE$_$1,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,9.12,5.746,5.72,5.658875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,16,16,34,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-NFrJFQijFE$_$1,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,9.12,5.746,5.72,5.72,n/a,25.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,16,16,34,proportional,q1_features.npz,q1_features_unaligned.npz,0.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-NFrJFQijFE$_$2,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,9.76,6.856,6.84,6.84,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-NFrJFQijFE$_$2,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,9.76,6.856,6.84,6.698375,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-NFrJFQijFE$_$2,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,9.76,6.856,6.84,6.84,n/a,25.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,18,18,32,proportional,q1_features.npz,q1_features_unaligned.npz,0.0,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$12,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,18.8,14.896029,14.866666666666667,14.866666666666667,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,39,39,11,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-THoVjtIkeU$_$12,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,18.8,14.896029,14.866666666666667,14.8055625,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,39,39,11,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$12,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,18.8,14.896029,14.866666666666667,14.866666666666667,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,39,39,11,proportional,q1_features.npz,q1_features_unaligned.npz,0.09395973154362416,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$2,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,4.644,4.291992,4.266666666666667,4.266666666666667,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-THoVjtIkeU$_$2,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,4.644,4.291992,4.266666666666667,4.230875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$2,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,4.644,4.291992,4.266666666666667,4.266666666666667,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,10,10,40,proportional,q1_features.npz,q1_features_unaligned.npz,0.11627906976744186,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$6,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,11.067,8.097005,8.066666666666666,8.066666666666666,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,30,30,20,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-THoVjtIkeU$_$6,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,11.067,8.097005,8.066666666666666,7.9829375,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,30,30,20,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-THoVjtIkeU$_$6,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,11.067,8.097005,8.066666666666666,8.066666666666666,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,30,29,20,proportional,q1_features.npz,q1_features_unaligned.npz,0.024691358024691357,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,warning,invalid_nonpadding_positions,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$1,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,13.434,10.35,10.333333333333334,10.333333333333334,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,27,27,23,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-UuX1xuaiiE$_$1,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,13.434,10.35,10.333333333333334,10.2675,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,27,27,23,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$1,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,13.434,10.35,10.333333333333334,10.333333333333334,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,27,27,23,proportional,q1_features.npz,q1_features_unaligned.npz,0.04807692307692308,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$0,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,3.7,3.633333,3.6999999999999997,3.6999999999999997,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-UuX1xuaiiE$_$0,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,3.7,3.633333,3.6999999999999997,3.575875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$0,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,3.7,3.633333,3.6999999999999997,3.6999999999999997,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,q1_features_unaligned.npz,0.4864864864864865,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$3,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,10.634,4.130013,4.1,4.1,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-UuX1xuaiiE$_$3,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,10.634,4.130013,4.1,4.038375,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$3,vision,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,10.634,4.130013,4.1,4.1,n/a,30.0,10.0,n/a,35,10_fps_sample,variable_text_anchor_mean_pool,9,9,41,proportional,q1_features.npz,q1_features_unaligned.npz,0.9024390243902439,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
-UuX1xuaiiE$_$6,text,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,15.234,8.113997,8.1,8.1,n/a,n/a,n/a,n/a,128,grouped_transcript_anchor,variable_text_anchor_mean_pool,22,22,28,proportional,q1_features.npz,n/a,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,n/a
-UuX1xuaiiE$_$6,audio,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,15.234,8.113997,8.1,7.943875,16000,n/a,n/a,n/a,74,10_ms_frame,variable_text_anchor_mean_pool,22,22,28,proportional,q1_features.npz,q1_features_unaligned.npz,n/a,b4261dff718cb6a3657fa394bed1617e73ea1b32c187bd083590d60d24d23cc2,ok,,945939ddd12064686060ad96d05424b0d23f9beea7e526ebc2ef56c838009f9c
