modality,dimension,valid_position_count,mean,std,min,max,zero_variance
text,79,1917,0.0019789657,0.07849112,-0.3705534,0.3936983,False
text,80,1917,-0.029206425,0.104235895,-0.51336324,0.34461412,False
text,81,1917,-0.0023472386,0.041715287,-0.37449527,0.3280594,False
text,82,1917,0.001551259,0.058826152,-0.37744027,0.3872809,False
text,83,1917,0.001505841,0.068381615,-0.35850406,0.3889442,False
text,84,1917,-0.00065927865,0.049990896,-0.32800677,0.46449745,False
text,85,1917,0.001356792,0.05960187,-0.47298068,0.40148836,False
text,86,1917,0.004746953,0.06953794,-0.35866463,0.62882817,False
text,87,1917,-0.0016246531,0.05139603,-0.3772553,0.3506894,False
text,88,1917,-0.013122028,0.072272174,-0.54275215,0.64910436,False
text,89,1917,0.050259177,0.13840392,-0.36410797,0.6001782,False
text,90,1917,0.0025922752,0.04934674,-0.34521368,0.37677628,False
text,91,1917,0.004546591,0.06784522,-0.56821525,0.4540977,False
text,92,1917,-0.0037635674,0.06658499,-0.4222899,0.3762651,False
text,93,1917,-0.00047415734,0.06062123,-0.35200834,0.58618057,False
text,94,1917,0.019675346,0.12599596,-0.5273959,0.5548422,False
text,95,1917,0.0052565825,0.064575456,-0.4400565,0.6274887,False
text,96,1917,0.004274873,0.07736389,-0.46434483,0.37557852,False
text,97,1917,-0.0062227496,0.078397565,-0.43670678,0.5771676,False
text,98,1917,-0.0118161095,0.099239826,-0.6452147,0.5943555,False
text,99,1917,-0.0065599596,0.057605088,-0.41234776,0.33800763,False
text,100,1917,0.0129211815,0.076231115,-0.37744027,0.45022494,False
text,101,1917,0.010404461,0.08461633,-0.4705435,0.43240798,False
text,102,1917,-0.00197303,0.07895732,-0.5964945,0.40726063,False
text,103,1917,0.00046135957,0.09815056,-0.66714126,0.4280415,False
text,104,1917,0.00093978504,0.05763391,-0.37557852,0.3772553,False
text,105,1917,-0.05067755,0.12286563,-0.5344299,0.37557852,False
text,106,1917,-0.002857231,0.056642067,-0.3768285,0.3772553,False
text,107,1917,-0.016380884,0.08573093,-0.584578,0.34095275,False
text,108,1917,0.0006723511,0.088572234,-0.3861551,0.40766263,False
text,109,1917,-0.013865301,0.075620964,-0.40582457,0.37179592,False
text,110,1917,-0.005236291,0.06755135,-0.42677233,0.37536085,False
text,111,1917,-0.0059367265,0.061390363,-0.40310127,0.3916413,False
text,112,1917,-0.0020501383,0.04280267,-0.33244547,0.34461662,False
text,113,1917,-0.0031033992,0.059590355,-0.3889442,0.38210407,False
text,114,1917,0.005056855,0.06594522,-0.33748087,0.5849078,False
text,115,1917,0.006637275,0.06377046,-0.40582457,0.4063904,False
text,116,1917,-0.0038520647,0.06150146,-0.34958437,0.40267405,False
text,117,1917,0.009113418,0.06643659,-0.36821532,0.5144254,False
text,118,1917,0.0035699327,0.088848196,-0.41866574,0.48573682,False
text,119,1917,0.0022755887,0.085343815,-0.3763376,0.51590085,False
text,120,1917,-0.07041794,0.14059898,-0.584578,0.40766263,False
text,121,1917,-0.0022203876,0.061097547,-0.40465444,0.5692661,False
text,122,1917,0.0029624342,0.064235166,-0.44974604,0.34653774,False
text,123,1917,-0.004265932,0.055037133,-0.3377801,0.62518317,False
text,124,1917,-0.007900987,0.08194469,-0.41730252,0.4288521,False
text,125,1917,-0.0008156757,0.049926855,-0.38531354,0.3884607,False
text,126,1917,0.020906584,0.091477185,-0.40721884,0.5510444,False
text,127,1917,-0.028588902,0.108756505,-0.58417517,0.5227079,False
audio,0,1916,-3.8667006,3.3638065,-18.420683,3.7593343,False
audio,1,1916,-2.666951,3.4195461,-18.420683,5.1167727,False
audio,2,1916,-1.8856554,3.42085,-18.420683,5.664988,False
audio,3,1916,-1.4571488,3.4445312,-18.420683,6.017623,False
audio,4,1916,-1.6831436,3.4196424,-18.420683,5.9124584,False
audio,5,1916,-1.9039851,3.4026618,-18.420683,5.9689784,False
audio,6,1916,-1.8981495,3.4536784,-18.420683,4.9750175,False
audio,7,1916,-2.0137608,3.4412808,-18.420683,5.256237,False
audio,8,1916,-2.2892792,3.399775,-18.420683,5.2882257,False
audio,9,1916,-2.626391,3.3826292,-18.420683,4.5334644,False
audio,10,1916,-3.1022437,3.3622522,-18.420683,4.596797,False
audio,11,1916,-3.7016962,3.306236,-18.420683,4.4385247,False
audio,12,1916,-4.2588615,3.1953833,-18.420683,4.885799,False
audio,13,1916,-4.6643653,3.073396,-18.420683,4.541,False
audio,14,1916,-5.087071,2.9976134,-18.420683,3.4623291,False
audio,15,1916,-5.4194922,2.9353213,-18.420683,2.4731882,False
audio,16,1916,-5.6407523,2.9119527,-18.420683,2.223131,False
audio,17,1916,-5.846614,2.865813,-18.420683,2.7147431,False
audio,18,1916,-5.975692,2.8283615,-18.420683,2.087489,False
audio,19,1916,-6.1107826,2.7747273,-18.420683,1.3481897,False
audio,20,1916,-6.3178678,2.718101,-18.420683,1.0028218,False
audio,21,1916,-6.530845,2.6629653,-18.420683,0.34218773,False
audio,22,1916,-6.7596555,2.5989518,-18.420683,-0.2583788,False
audio,23,1916,-6.845467,2.613466,-18.420683,-0.083203755,False
audio,24,1916,-6.949342,2.635506,-18.420683,-0.11234501,False
audio,25,1916,-7.1608753,2.6370227,-18.420683,-0.050846055,False
audio,26,1916,-7.4059386,2.6155221,-18.420683,-0.8206985,False
audio,27,1916,-7.6843944,2.5841665,-18.420683,-0.027567605,False
audio,28,1916,-7.964848,2.6066113,-18.420683,-0.46813604,False
audio,29,1916,-8.177353,2.5473378,-18.420683,-1.3964827,False
audio,30,1916,-8.390423,2.5005102,-18.420683,-1.7769959,False
audio,31,1916,-8.7666,2.4839091,-18.420683,-1.2080213,False
audio,32,1916,-9.110322,2.494913,-18.420683,-1.0395043,False
audio,33,1916,-9.449101,2.441081,-18.420683,-1.8986808,False
audio,34,1916,-9.688764,2.491227,-18.420683,-1.9433016,False
audio,35,1916,-9.758107,2.530271,-18.420683,-1.5450736,False
audio,36,1916,-9.744141,2.5977497,-18.420683,-0.7527273,False
audio,37,1916,-9.70186,2.6907737,-18.420683,-0.71818393,False
audio,38,1916,-9.806742,2.6721215,-18.420683,-1.1736622,False
audio,39,1916,-10.22458,2.642341,-18.420683,-1.2190466,False
audio,40,1916,-37.715843,15.84772,-116.50271,-4.5574813,False
audio,41,1916,17.182411,6.192587,-5.2831664,49.629288,False
audio,42,1916,0.53588396,3.8170397,-13.777246,13.461591,False
audio,43,1916,1.1026956,3.2457523,-10.372422,12.635859,False
audio,44,1916,-1.5870539,2.149673,-16.0396,4.185846,False
audio,45,1916,-1.8108929,2.2062116,-9.384078,3.988527,False
audio,46,1916,-0.95738256,1.7937874,-7.1646285,7.4915133,False
audio,47,1916,-0.8238616,1.5510161,-6.1719036,3.991315,False
audio,48,1916,-0.32641467,1.2246283,-4.554992,5.4471474,False
audio,49,1916,-0.3833374,1.2013142,-4.959702,3.522952,False
audio,50,1916,-0.5612371,1.0777006,-4.7371225,4.1227455,False
audio,51,1916,-0.5114269,1.1187742,-5.2382035,3.1626475,False
audio,52,1916,-0.68583906,0.91998136,-5.8916674,2.987705,False
audio,53,1916,0.012667111,0.7076929,-4.293249,6.7287,False
audio,54,1916,-0.014106913,0.42074615,-2.3471253,2.4960659,False
audio,55,1916,0.0017726313,0.29084915,-2.6214204,2.1798546,False
audio,56,1916,-0.0013856966,0.19990443,-1.561833,1.4229784,False
audio,57,1916,-0.0010590461,0.16324584,-1.6322626,0.7837585,False
audio,58,1916,0.00043098317,0.15853497,-1.254797,0.9019475,False
audio,59,1916,-0.0006763492,0.12141529,-0.63620377,0.72327715,False
audio,60,1916,0.0007345669,0.10668906,-0.5334389,0.89347315,False
audio,61,1916,-0.0012951493,0.10679421,-0.9353194,0.65343434,False
audio,62,1916,-0.00075167045,0.0904389,-0.59320915,0.5043122,False
audio,63,1916,0.0030710944,0.08636211,-0.4959545,0.6244221,False
audio,64,1916,-0.00010656606,0.08969381,-0.51297873,0.57889014,False
audio,65,1916,0.0018964966,0.082484715,-1.0567248,0.3768077,False
audio,66,1916,0.0015169351,0.0027453527,0.0,0.02531654,False
audio,67,1916,-9.138574,2.7185242,-18.420683,-3.9141202,False
audio,68,1916,0.11383859,0.07379224,0.0,0.6362573,False
audio,69,1916,0.099336736,0.071650796,0.0,0.6698646,False
audio,70,1916,0.07908198,0.045196176,0.0,0.35791382,False
audio,71,1916,0.024745012,0.02304501,0.0,0.15233192,False
audio,72,1916,0.092324935,0.08278266,0.0,0.54604024,False
audio,73,1916,0.03850475,0.06465018,2.5341035e-07,0.50067353,False
vision,0,1900,0.01616907,0.010672899,0.000121913574,0.04405247,False
vision,1,1900,0.0048577967,0.0056595393,9.259259e-06,0.023540124,False
vision,2,1900,0.0026116448,0.003274216,0.0,0.021101465,False
vision,3,1900,0.0021153265,0.0040628775,0.0,0.024169752,False
vision,4,1900,0.0068739066,0.0073957257,0.0,0.03174753,False
vision,5,1900,0.007523485,0.0082871085,0.0,0.033216666,False
vision,6,1900,0.0012413113,0.0015497195,0.0,0.0073020277,False
vision,7,1900,0.0030519047,0.0030868738,0.0,0.014910494,False
vision,8,1900,0.011290264,0.007908573,5.967882e-06,0.03125,False
vision,9,1900,0.005444947,0.0034968914,0.0,0.015934246,False
vision,10,1900,0.004428949,0.0029243047,0.0,0.017799169,False
vision,11,1900,0.003892758,0.0029842996,0.0,0.0118765505,False
vision,12,1900,0.0031043882,0.003011842,0.0,0.015242513,False
vision,13,1900,0.0017842437,0.002611487,0.0,0.015268374,False
vision,14,1900,0.0006118511,0.00086588354,0.0,0.006634983,False
vision,15,1900,0.0006926015,0.0013187223,0.0,0.0105523,False
vision,16,1900,0.00449179,0.004454212,0.0,0.030366754,False
vision,17,1900,0.005407533,0.00393295,0.0,0.017810872,False
vision,18,1900,0.0039192075,0.0024628635,0.0,0.015848525,False
vision,19,1900,0.0035398072,0.0022649139,0.0,0.009001953,False
vision,20,1900,0.0031650986,0.0020778251,0.0,0.01710395,False
vision,21,1900,0.0036463533,0.0028808992,0.0,0.017182074,False
vision,22,1900,0.0032417048,0.0036044694,0.0,0.016048899,False
vision,23,1900,0.0038385028,0.005111672,0.0,0.029213324,False
vision,24,1900,0.55360645,0.4507281,0.0,1.0,False
vision,25,1900,0.29943454,0.25517803,0.0,0.778125,False
vision,26,1900,0.19280759,0.16490681,0.0,0.56805557,False
vision,27,1900,0.114838384,0.100797646,0.0,0.39791667,False
vision,28,1900,0.20415714,0.17919594,0.0,0.7074074,False
vision,29,1900,0.044628732,0.047612164,0.0,0.2815509,False
vision,30,1900,0.24125789,0.38383222,0.0,6.5551405,False
vision,31,1900,0.51850754,1.1791722,0.0,17.673939,False
vision,32,1900,0.6154883,1.0501361,0.0,23.463629,False
vision,33,1900,0.40668106,0.16218936,0.011838712,0.97892046,False
vision,34,1900,0.13184547,0.041346222,0.0048958333,0.229375,False
